brand,file,status,source_type,source_url,source_title,notes
Ebro,Ebro.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Ebro.png,Ebro.png,"Sin fuente publica fiable automatica; recoloreado provisional 0D5C63, revisar manualmente"
Faw,Faw.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Faw.png,Faw.png,"Sin fuente publica fiable automatica; recoloreado provisional 004B93, revisar manualmente"
Ferrari,Ferrari.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/Ferrari%20Logo.svg,Ferrari Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
Fiat,Fiat.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/Fiat%20Logo.svg,Fiat Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
Ford,Ford.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/Ford%20Logo.svg,Ford Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
Foton Motors,Foton Motors.svg,public_best_effort,wikimedia-commons,https://upload.wikimedia.org/wikipedia/commons/f/fa/Foton_Motor_logo.svg,File:Foton Motor logo.svg,score=48; formato=svg
GWM,GWM.svg,public_best_effort,wikimedia-commons,https://upload.wikimedia.org/wikipedia/commons/d/d2/GWM_2025_logo.svg,File:GWM 2025 logo.svg,score=48; formato=svg
Geely,Geely.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Geely.png,Geely.png,"Sin fuente publica fiable automatica; recoloreado provisional 124E91, revisar manualmente"
Herrator,Herrator.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Herrator.png,Herrator.png,"Sin fuente publica fiable automatica; recoloreado provisional 111827, revisar manualmente"
Honda,Honda.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/Honda%20Logo.svg,Honda Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
Hyundai,Hyundai.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/Hyundai%20Logo.svg,Hyundai Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
Ineos,Ineos.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Ineos.png,Ineos.png,"Sin fuente publica fiable automatica; recoloreado provisional 111827, revisar manualmente"
Isuzu,Isuzu.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Isuzu.png,Isuzu.png,"Sin fuente publica fiable automatica; recoloreado provisional 111827, revisar manualmente"
Iveco,Iveco.svg,public_vector,simple-icons,https://cdn.simpleicons.org/iveco/1554FF,iveco,SVG monocromo con color de marca de Simple Icons
Jaecoo,Jaecoo.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Jaecoo.png,Jaecoo.png,"Sin fuente publica fiable automatica; recoloreado provisional 111827, revisar manualmente"
Jaguar,Jaguar.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/Jaguar%20Logo.svg,Jaguar Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
Jeep,Jeep.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/Jeep%20Logo.svg,Jeep Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
Kg Mobility,Kg Mobility.svg,public_best_effort,wikimedia-commons,https://upload.wikimedia.org/wikipedia/commons/0/04/KG_Mobility_brand_logo.svg,File:KG Mobility brand logo.svg,score=48; formato=svg
Kia,Kia.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/Kia%20Logo.svg,Kia Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
Lamborghini,Lamborghini.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/Lamborghini%20Logo.svg,Lamborghini Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
Lancia,Lancia.svg,public_best_effort,wikimedia-commons,https://upload.wikimedia.org/wikipedia/commons/e/ed/Lancia_Logo_2023.svg,File:Lancia Logo 2023.svg,score=48; formato=svg
Land Rover,Land Rover.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/Landrover%20Logo.svg,Landrover Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
Leapmotor,Leapmotor.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Leapmotor.png,Leapmotor.png,"Sin fuente publica fiable automatica; recoloreado provisional 111827, revisar manualmente"
Lexus,Lexus.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/Lexus%20Logo.svg,Lexus Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
Livan,Livan.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Livan.png,Livan.png,"Sin fuente publica fiable automatica; recoloreado provisional 0F5E9C, revisar manualmente"
Lotus,Lotus.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/Lotus%20Logo.svg,Lotus Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
Lynk & Co,Lynk & Co.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Lynk & Co.png,Lynk & Co.png,"Sin fuente publica fiable automatica; recoloreado provisional 111827, revisar manualmente"
MAN,MAN.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\MAN.png,MAN.png,"Sin fuente publica fiable automatica; recoloreado provisional 00529B, revisar manualmente"
MG,MG.svg,public_vector,simple-icons,https://cdn.simpleicons.org/mg/FF0000,mg,SVG monocromo con color de marca de Simple Icons
MINI,MINI.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/Mini%20Logo.svg,Mini Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
Maserati,Maserati.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/Maserati%20Logo.svg,Maserati Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
Maxus,Maxus.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Maxus.png,Maxus.png,"Sin fuente publica fiable automatica; recoloreado provisional A71930, revisar manualmente"
Mazda,Mazda.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/Mazda%20Logo.svg,Mazda Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
McLaren,McLaren.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/McLaren%20Logo.svg,McLaren Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
Mercedes,Mercedes.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/MB%20Icon.svg,MB Icon.svg,"Icono compacto: solo estrella Mercedes-Benz, sin wordmark"
Mercedes-V,Mercedes-V.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/MB%20Icon.svg,MB Icon.svg,"Icono compacto: solo estrella Mercedes-Benz, sin wordmark"
Mitsubishi,Mitsubishi.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/Mitsubishi%20Logo.svg,Mitsubishi Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
Mitsubishi-Fuso,Mitsubishi-Fuso.svg,public_best_effort,wikimedia-commons,https://upload.wikimedia.org/wikipedia/commons/5/5a/Fuso_logo.svg,File:Fuso logo.svg,score=48; formato=svg
Moke,Moke.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Moke.png,Moke.png,"Sin fuente publica fiable automatica; recoloreado provisional 111827, revisar manualmente"
Morgan,Morgan.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Morgan.png,Morgan.png,"Sin fuente publica fiable automatica; recoloreado provisional 0B3D2E, revisar manualmente"
Nissan,Nissan.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/Nissan%20Logo.svg,Nissan Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
Omoda,Omoda.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Omoda.png,Omoda.png,"Sin fuente publica fiable automatica; recoloreado provisional 111827, revisar manualmente"
Opel,Opel.svg,public_vector,simple-icons,https://cdn.simpleicons.org/opel/F7D900,opel,SVG monocromo con color de marca de Simple Icons
Peugeot,Peugeot.svg,public_vector,simple-icons,https://cdn.simpleicons.org/peugeot/000000,peugeot,SVG monocromo con color de marca de Simple Icons
Polestar,Polestar.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/Polestar%20Logo.svg,Polestar Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
Porsche,Porsche.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/Porsche%20Logo.svg,Porsche Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
Renault,Renault.svg,public_vector,simple-icons,https://cdn.simpleicons.org/renault/FFCC33,renault,SVG monocromo con color de marca de Simple Icons
Renault Trucks,Renault Trucks.svg,public_best_effort,wikimedia-commons,https://upload.wikimedia.org/wikipedia/commons/d/dd/Renault_Trucks_logo.svg,File:Renault Trucks logo.svg,score=48; formato=svg
Rolls-Royce,Rolls-Royce.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/Rolls%20Royce%20Logo.svg,Rolls Royce Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
SEAT,SEAT.svg,public_vector,simple-icons,https://cdn.simpleicons.org/seat/33302E,seat,SVG monocromo con color de marca de Simple Icons
Seres,Seres.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Seres.png,Seres.png,"Sin fuente publica fiable automatica; recoloreado provisional 1F4E79, revisar manualmente"
Shineray,Shineray.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Shineray.png,Shineray.png,"Sin fuente publica fiable automatica; recoloreado provisional E30613, revisar manualmente"
Skoda,Skoda.svg,public_vector,simple-icons,https://cdn.simpleicons.org/skoda/0E3A2F,skoda,SVG monocromo con color de marca de Simple Icons
Skywell,Skywell.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Skywell.png,Skywell.png,"Sin fuente publica fiable automatica; recoloreado provisional 005BAC, revisar manualmente"
Smart,Smart.svg,public_vector,simple-icons,https://cdn.simpleicons.org/smart/242B2E,smart,SVG monocromo con color de marca de Simple Icons
Sportequipe,Sportequipe.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Sportequipe.png,Sportequipe.png,"Sin fuente publica fiable automatica; recoloreado provisional 111827, revisar manualmente"
Ssangyong,Ssangyong.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Ssangyong.png,Ssangyong.png,"Sin fuente publica fiable automatica; recoloreado provisional 003B71, revisar manualmente"
Subaru,Subaru.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/Subaru%20Logo.svg,Subaru Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
Suzuki,Suzuki.svg,public_vector,simple-icons,https://cdn.simpleicons.org/suzuki/E30613,suzuki,SVG monocromo con color de marca de Simple Icons
Tesla,Tesla.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/Tesla%20Logo.svg,Tesla Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
Tiger,Tiger.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Tiger.png,Tiger.png,"Sin fuente publica fiable automatica; recoloreado provisional E87722, revisar manualmente"
Toyota,Toyota.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/Toyota%20Logo.svg,Toyota Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
Tripod,Tripod.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Tripod.png,Tripod.png,"Sin fuente publica fiable automatica; recoloreado provisional 111827, revisar manualmente"
Volkswagen,Volkswagen.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/Volkswagen%20Logo.svg,Volkswagen Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
Volvo,Volvo.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/Volvo%20Logo.svg,Volvo Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
Voyah,Voyah.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Voyah.png,Voyah.png,"Sin fuente publica fiable automatica; recoloreado provisional 111827, revisar manualmente"
Xpeng,Xpeng.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Xpeng.png,Xpeng.png,"Sin fuente publica fiable automatica; recoloreado provisional 111827, revisar manualmente"
Yudo,Yudo.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Yudo.png,Yudo.png,"Sin fuente publica fiable automatica; recoloreado provisional 005BAC, revisar manualmente"
Zeekr,Zeekr.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Zeekr.png,Zeekr.png,"Sin fuente publica fiable automatica; recoloreado provisional 111827, revisar manualmente"
