tipo,marca_dgt,empresa,nif,cnae,municipio,cod_municipio,provincia,notas
importador,ALFA ROMEO,Stellantis & You España SA,A28278026,4511,Madrid,,Madrid,
importador,JEEP,Stellantis & You España SA,A28278026,4511,Madrid,,Madrid,Jeep Boadilla=Corporate confirmado
importador,FIAT,Stellantis & You España SA,A28278026,4511,Madrid,,Madrid,
importador,LANCIA,Stellantis & You España SA,A28278026,4511,Madrid,,Madrid,
importador,RENAULT,Renault España Comercial SA,A47329180,4511,Alcobendas,28006,Madrid,Distribuidor Renault en España
importador,RENAULT,Renault España SA,A47000518,2910,Valladolid,,Valladolid,Fabricante Renault (planta Valladolid)
importador,DACIA,Renault España Comercial SA,A47329180,4511,Alcobendas,28006,Madrid,Dacia distribuido por Renault España Comercial
importador,NISSAN,Nissan Iberia SA,A60622743,4511,Barcelona,,Barcelona,Distribuidor Nissan España
importador,NISSAN,Nissan Motor Ibérica SA,A08004871,2910,Zona Franca Barcelona,,Barcelona,Fabricante Nissan (planta Barcelona)
importador,FORD,Ford España SL,B46066361,2910,Almussafes,46240,Valencia,Fabricante Ford España (planta Valencia)
importador,KIA,Kia Iberia SL,B83497396,4511,Alcobendas,28006,Madrid,Distribuidor Kia España
importador,HYUNDAI,Hyundai Motor España SL,B85754646,4511,Alcobendas,28006,Madrid,Distribuidor Hyundai España
importador,VOLVO,Volvo Car España SL,B28112142,4511,Madrid,,Madrid,Distribuidor Volvo en España
importador,HONDA,Honda Automóviles España SA,A58528522,4511,Madrid,,Madrid,Distribuidor Honda en España
importador,STELLANTIS,Stellantis España SL,B50629187,2910,Vigo,36210,Pontevedra,Fabricante Stellantis (planta Vigo - PSA)
importador,VOLKSWAGEN,Volkswagen Group Retail Spain SL,B65154700,4511,Madrid,,Madrid,Red retail VW Group España
alquiler,*,Europcar IB SA,A28364412,7711,Madrid,28042,Madrid,Principal empresa alquiler corto plazo España
alquiler,*,Hertz de España SL,B28121549,7711,Las Rozas de Madrid,28232,Madrid,Hertz España
alquiler,*,Avis Alquile Un Coche SA,A28152767,7711,Madrid,28050,Madrid,Avis España (Manoteras)
alquiler,*,Centauro Rent-a-car SL,B03965506,7711,Finestrat,03509,Alicante,Centauro - fuerte en Canarias/Levante
alquiler,*,Goldcar Spain SL,B03403169,7711,Sant Joan d'Alacant,,Alicante,Goldcar - low-cost alquiler
alquiler,*,OK GROUP,B57653321,7711,Palma de Mallorca,,Illes Balears,OK Mobility / OK Rent a Car
alquiler,*,Global Rent A Car SL,B07659725,7711,Calviá,,Illes Balears,Global Rent A Car
alquiler,*,Sixt Rent A Car SL,B07947591,7711,Palma de Mallorca,07004,Illes Balears,Sixt España (antes Sixt Autovermietung SL)
alquiler,*,Atesa (Autotransporte Turístico Español SA),A28047884,7711,Madrid,28051,Madrid,Atesa; adquirida por Enterprise Holdings en 2012
alquiler,*,Enterprise Rent A Car SL,B07882574,7711,Palma de Mallorca,,Illes Balears,Enterprise España
alquiler,*,Record Go Alquiler Vacacional SA,A12584470,7711,Castellón,12005,Castellón,Record Go - Castellón; fuerte en Canarias/Levante
alquiler,*,Record Go Canarias SL,B13930375,7711,Las Palmas de Gran Canaria,35002,Las Palmas,Record Go Canarias - entidad separada
alquiler,*,Canary Islands Car SL (CICAR),B35051820,7711,San Bartolomé de Tirajana,35290,Las Palmas,CICAR - mayor red alquiler Canarias; +15.000 vehículos
alquiler,*,Volkswagen Renting SA,A80185051,7712,Madrid,,Madrid,Renting largo plazo VW Group (NO alquiler corto)
alquiler,*,Europcar Renting SA,,,7712,Madrid,,Madrid,Renting largo plazo Europcar (NO alquiler corto)
