marca,modelo,fuel_type,body_type,confidence,note
Geely,Geometry C,Electrico (BEV),SUV,alta,submarca 100% electrica de Geely
Honda,Insight Hybrid,Gasolina,Hatchback,alta,hibrido no enchufable = Gasolina por convencion
Honda,Honda City,Gasolina,Sedan,alta,
Hyundai,Accent Hatchback,Gasolina,Hatchback,alta,
Hyundai,Accent Sedan,Gasolina,Sedan,alta,
Hyundai,Grand I10 Sedán,Gasolina,Sedan,alta,
Hyundai,HB20 HATCHBACK,Gasolina,Hatchback,alta,
Hyundai,HB20 SEDAN,Gasolina,Sedan,alta,
Hyundai,Ioniq 5,Electrico (BEV),SUV,alta,
Hyundai,Ioniq,Gasolina,Hatchback,baja,generico; en otros mercados incluye variantes hibridas
Hyundai,Veloster,Gasolina,Hatchback,alta,
JAC,E 10X,Electrico (BEV),Hatchback,alta,
JAC,E 30x,Electrico (BEV),Hatchback,alta,
JAC,E J7,Electrico (BEV),Sedan,alta,
JAC,E Sei 4,Electrico (BEV),SUV,alta,
JAC,ESei4 Pro,Electrico (BEV),SUV,alta,
JAC,Sei4 Pro,Electrico (BEV),SUV,media,
JAC,Sei6 Pro,Electrico (BEV),SUV,media,
JETOUR,Dashing,Gasolina,SUV,baja,
JETOUR,T2,Gasolina,SUV,baja,
Jaguar,F-Type,Gasolina,Coupe,alta,
Jaguar,I-Pace,Electrico (BEV),SUV,alta,
KIA,EV6,Electrico (BEV),SUV,alta,
KIA,Forte Hatchback,Gasolina,Hatchback,alta,
KIA,K4 Hatchback,Gasolina,Hatchback,alta,
KIA,K4 Sedán,Gasolina,Sedan,alta,
KIA,KIA K3 Hatchback,Gasolina,Hatchback,alta,
KIA,KIA K3 Sedán,Gasolina,Sedan,alta,
KIA,KIA Niro,Gasolina,SUV,baja,Niro se vende como HEV/PHEV/EV segun mercado; INEGI no distingue
KIA,KIA Río Hatchback,Gasolina,Hatchback,alta,
KIA,KIA Río Sedan,Gasolina,Sedan,alta,
KIA,Sportage HEV,Gasolina,SUV,alta,hibrido no enchufable = Gasolina por convencion
KIA,Stinger,Gasolina,Sedan,alta,
Land Rover,Defender,Gasolina,SUV,alta,
Land Rover,Discovery,Gasolina,SUV,alta,
Land Rover,Discovery Sport,Gasolina,SUV,alta,
Land Rover,Range Rover,Gasolina,SUV,alta,
Land Rover,Range Rover Evoque,Gasolina,SUV,alta,
Land Rover,Range Rover Velar,Gasolina,SUV,alta,
Lincoln,NAUTILUS,Gasolina,SUV,alta,
MG Motor,CYBERSTER,Electrico (BEV),Convertible,alta,
MG Motor,GT,Gasolina,Sedan,media,
MG Motor,HSHEV,Gasolina,SUV,alta,hibrido no enchufable = Gasolina por convencion
MG Motor,MG3HEV,Gasolina,Hatchback,alta,
MG Motor,MG3,Gasolina,Hatchback,alta,
MG Motor,MG4,Electrico (BEV),Hatchback,alta,
MG Motor,MG5,Gasolina,Sedan,media,
MG Motor,ZSEV,Electrico (BEV),SUV,alta,
MG Motor,ZSHEV,Gasolina,SUV,alta,hibrido no enchufable = Gasolina por convencion
MG Motor,eHS,Hibrido enchufable (PHEV),SUV,alta,
Mazda,Mazda 2 Hatchback,Gasolina,Hatchback,alta,
Mazda,Mazda 2 Sedán,Gasolina,Sedan,alta,
Mazda,Mazda 3 Hatchback,Gasolina,Hatchback,alta,
Mazda,Mazda 3 Sedán,Gasolina,Sedan,alta,
Mazda,Mx-5,Gasolina,Convertible,alta,
Mercedes Benz,AMG GT,Gasolina,Coupe,alta,
Mercedes Benz,Clase A Sedan,Gasolina,Sedan,alta,
Mercedes Benz,Clase A hatchback,Gasolina,Hatchback,alta,
Mercedes Benz,Clase C Sedan,Gasolina,Sedan,alta,
Mercedes Benz,Clase C coupe,Gasolina,Coupe,alta,
Mercedes Benz,Clase E coupe,Gasolina,Coupe,alta,
Mercedes Benz,Clase E sedan,Gasolina,Sedan,alta,
Mercedes Benz,Clase S coupe,Gasolina,Coupe,alta,
Mercedes Benz,Clase S sedan,Gasolina,Sedan,alta,
Mercedes Benz,Clase SL,Gasolina,Convertible,alta,
Mercedes Benz,EQA,Electrico (BEV),SUV,alta,
Mercedes Benz,EQB,Electrico (BEV),SUV,alta,
Mercedes Benz,EQC,Electrico (BEV),SUV,alta,
Mercedes Benz,EQE,Electrico (BEV),Sedan,alta,
Mercedes Benz,EQE SUV,Electrico (BEV),SUV,alta,
Mercedes Benz,EQS,Electrico (BEV),Sedan,alta,
Mercedes Benz,EQS SUV,Electrico (BEV),SUV,alta,
Mercedes Benz,Clase V,Gasolina,Van,alta,
Mercedes Benz,Sprinter,Gasolina,Van,alta,
Mercedes Benz,Vito,Gasolina,Van,alta,
Mini,MINI 3 PTAS,Gasolina,Hatchback,alta,
Mini,MINI 5 PTAS,Gasolina,Hatchback,alta,
Mini,MINI Aceman,Electrico (BEV),SUV,alta,
Mini,MINI CLUBMAN,Gasolina,Hatchback,alta,
Mini,MINI CONVERTIBLE,Gasolina,Convertible,alta,
Mini,MINI COUNTRYMAN,Gasolina,SUV,alta,
Mini,MINI COUPE,Gasolina,Coupe,alta,
Mini,MINI Countryman E,Electrico (BEV),SUV,alta,
Mini,MINI E,Electrico (BEV),Hatchback,media,
Mini,MINI PACEMAN,Gasolina,Coupe,alta,
Mini,MINI ROADSTER,Gasolina,Convertible,alta,
Mitsubishi,Outlander PHEV,Hibrido enchufable (PHEV),SUV,alta,
Mitsubishi,Mirage,Gasolina,Hatchback,alta,
Mitsubishi,Mirage G4,Gasolina,Sedan,alta,
Nissan,GT-R,Gasolina,Coupe,alta,
Nissan,Leaf,Electrico (BEV),Hatchback,alta,
Nissan,Note,Gasolina,Hatchback,alta,
Nissan,Tiida Sedan,Gasolina,Sedan,alta,
Nissan,Z,Gasolina,Coupe,alta,
Nissan,370 Z,Gasolina,Coupe,alta,
Peugeot,207 CC,Gasolina,Convertible,alta,
Peugeot,308 Cc,Gasolina,Convertible,alta,
Peugeot,E-Partner,Electrico (BEV),Van,alta,
Peugeot,Manager Hdi,Diesel,Pickup,alta,insignia HDi = diesel Peugeot
Peugeot,Rcz,Gasolina,Coupe,alta,
Porsche,718 Boxster,Gasolina,Convertible,alta,
Porsche,911 Carrera / Turbo / GT,Gasolina,Coupe,alta,
Porsche,Cayman,Gasolina,Coupe,alta,
Porsche,Panamera,Gasolina,Sedan,media,existen versiones E-Hybrid PHEV no separables en INEGI
Porsche,Taycan,Electrico (BEV),Sedan,alta,
Renault,Kangoo ZE,Electrico (BEV),Pickup,alta,version electrica de Kangoo
Renault,Kwid e-Tech,Electrico (BEV),Hatchback,alta,
Renault,MEGANE E-TECH,Electrico (BEV),Hatchback,alta,
Renault,Master E- Tech eléctrico,Electrico (BEV),Van,alta,
Renault,Twizy,Electrico (BEV),Otro,alta,cuadriciclo electrico
Renault,ZOE,Electrico (BEV),Hatchback,alta,
Renault,Sandero,Gasolina,Hatchback,alta,
Renault,Sandero R.S. 2.0,Gasolina,Hatchback,alta,
SEAT,Ibiza 4 Ptas,Gasolina,Hatchback,alta,
SEAT,Nuevo Toledo,Gasolina,Sedan,alta,
Subaru,Subaru BRZ,Gasolina,Coupe,alta,
Subaru,WRX,Gasolina,Sedan,alta,
Subaru,WRX STI,Gasolina,Sedan,alta,
Toyota,GR Supra,Gasolina,Coupe,alta,
Toyota,GR Yaris,Gasolina,Hatchback,alta,
Toyota,Prius,Gasolina,Hatchback,alta,hibrido no enchufable = Gasolina por convencion
Toyota,Prius-C,Gasolina,Hatchback,alta,
Toyota,Rav4,Gasolina,SUV,media,existen versiones Hybrid/Prime PHEV no separables en INEGI
Toyota,Corolla Cross,Gasolina,SUV,media,existe version Hybrid no separable en INEGI
Toyota,Yaris Hatchback,Gasolina,Hatchback,alta,
Toyota,Yaris Sedan,Gasolina,Sedan,alta,
Toyota,Yaris-R,Gasolina,Sedan,alta,
Volkswagen,Beetle,Gasolina,Hatchback,alta,
Volkswagen,Beetle Cabrio,Gasolina,Convertible,alta,
Volkswagen,GTI,Gasolina,Hatchback,alta,
Volkswagen,Gol,Gasolina,Hatchback,alta,
Volkswagen,Gol Sedan,Gasolina,Sedan,alta,
Volkswagen,Golf,Gasolina,Hatchback,alta,
Volkswagen,Golf-,Gasolina,Hatchback,alta,
Volkswagen,ID.4,Electrico (BEV),SUV,alta,
Volkswagen,Jetta,Gasolina,Sedan,alta,
Volkswagen,Nuevo Jetta,Gasolina,Sedan,alta,
Volkswagen,Nuevo Jetta TDI,Diesel,Sedan,alta,insignia TDI = diesel
Volkswagen,Polo 4 Ptas,Gasolina,Hatchback,alta,
Volkswagen,UP!,Gasolina,Hatchback,alta,
Volkswagen,e-Crafter,Electrico (BEV),Van,alta,
Volvo,C40,Electrico (BEV),SUV,alta,
Volvo,EX30,Electrico (BEV),SUV,alta,
Volvo,EX90,Electrico (BEV),SUV,alta,
Volvo,S60 III,Gasolina,Sedan,media,gama con motorizaciones mild-hybrid B; sin PHEV separable
Volvo,XC40,Gasolina,SUV,media,gama incluye version Recharge PHEV no separable en INEGI
Volvo,XC60 II,Gasolina,SUV,media,gama incluye version Recharge PHEV no separable en INEGI
Volvo,XC90 II,Gasolina,SUV,media,gama incluye version Recharge PHEV no separable en INEGI
